id,date,account,service_type,order_id,project_name,client_name,status,assign_leader,developer,deli_last_date,order_amount,bonus_amount,sheet_link,comment,presale_id,custom_data,created_at,updated_at
1,,codeninja7,Wordpress,,Wordpress_Fiverr_codeninja7_#FO729ADFE2AC5_emmaatbae_$150,emmaatbae,Delivered,Black Pair,,,150.00,0.00,https://docs.google.com/spreadsheets/d/10sxOLtw6AVP1_JdW-b0Qq4Mz740CbZYg4JVIEPCz960/edit?usp=sharing,,,{},2026-08-02 23:19:46.749290+00:00,2026-08-02 23:19:46.749290+00:00
2,,Codecap10,Shopify,,Shopify _Fiverr_codecap10_#FO322D46D0287_hafzal734_$150,hafzal734,Delivered,Shopify Team,Liazul,,150.00,0.00,https://docs.google.com/spreadsheets/d/1ZV5utJSo74qdbGXdV62UDw5wdyUa3wIk106GWLcdrGc/edit?usp=sharing,,,{},2026-08-02 23:19:48.684392+00:00,2026-08-02 23:19:48.684392+00:00
3,,Rupali_Akter,Wordpress,,WordPress_Fiverr_Rupali_#FO41BDE7FA784_robear985_$350,robear985,Delivered,Joint team,"Tanzina, Fatema",,350.00,0.00,https://docs.google.com/spreadsheets/d/1c19kdfhuANc_8JYSMjMJJsQJYDDXhS1CelkQIxgdr_k/edit?usp=sharing,,,{},2026-08-02 23:19:50.684698+00:00,2026-08-02 23:19:50.684698+00:00
4,,Rita_Akter,Wordpress,,WordPress_Fiverr_code_whiz_#FO214EB1B5944_cynergybs_$350,cynergybs,Delivered,Green Pair,,,350.00,0.00,https://docs.google.com/spreadsheets/d/1YdjHk_yhdOnLZ8Zt78i4si83fvwajxIPEz8k8Z1mDao/edit?usp=sharing,,,{},2026-08-02 23:19:52.766036+00:00,2026-08-02 23:19:52.766036+00:00
5,,codeninja7,Webflow,,WebFlow_Fiverr_codeninja7_#FO11BE678FD87_anissa_highmark_$150,anissa_highmark,Delivered,Hossain,,,150.00,0.00,https://docs.google.com/spreadsheets/d/1M04VhxliBUGgw_zpqmZeZajqClZirXneerwidgaous8/edit?usp=sharing,,,{},2026-08-02 23:19:54.861941+00:00,2026-08-02 23:19:54.861941+00:00
6,,devistiyak07(Istiyak),Shopify,,Shopify_Fiverr_devistiyak07_#FO830E4633CC6_laurynelzshoes_$280,laurynelzshoes,Submitted,Shopify Team,Sabbir,,280.00,0.00,https://docs.google.com/spreadsheets/d/1GDHIpofIUl5rDN_NLqy7Lq35UqwfYXTH_pcM6pyZkNc/edit?usp=sharing,,,{},2026-08-02 23:19:56.824286+00:00,2026-08-02 23:19:56.824286+00:00
7,,primeweb24,Wordpress,,Wordpress_Fiverr_primeweb_#FO730E0C758C7_kbogateanu_$80,kbogateanu,Delivered,Gold Pair,,,80.00,0.00,https://docs.google.com/spreadsheets/d/1p2ziD1A_FbxECItxKI0F3VaoA5yZ2OLPg9jmtImRfwE/edit?gid=0#gid=0,,,{},2026-08-02 23:19:58.815039+00:00,2026-08-02 23:19:58.815039+00:00
8,,nexoly18,Wordpress,,Wordpress_Fiverr_nexoly18_#FO629F10285C6_heathchurchohio _$500,heathchurchohio,WIP,Black Pair,,,500.00,0.00,https://docs.google.com/spreadsheets/d/1NAA1z8cRM4-d02NPkb1zD-97M6vfFOH2ASubElL7aoQ/edit?usp=sharing,,,{},2026-08-02 23:20:00.828389+00:00,2026-08-02 23:20:00.828389+00:00
9,,codeninja7,Wordpress,,Wordpress_Fiverr_codeninja7_#FO729ADFE2AC5_emmaatbae_$150,emmaatbae,Delivered,Black Pair,,,150.00,0.00,https://docs.google.com/spreadsheets/d/10sxOLtw6AVP1_JdW-b0Qq4Mz740CbZYg4JVIEPCz960/edit?usp=sharing,,,{},2026-08-02 23:31:29.214867+00:00,2026-08-02 23:31:29.214867+00:00
10,,Codecap10,Shopify,,Shopify _Fiverr_codecap10_#FO322D46D0287_hafzal734_$150,hafzal734,Delivered,Shopify Team,Liazul,,150.00,0.00,https://docs.google.com/spreadsheets/d/1ZV5utJSo74qdbGXdV62UDw5wdyUa3wIk106GWLcdrGc/edit?usp=sharing,,,{},2026-08-02 23:31:31.264947+00:00,2026-08-02 23:31:31.264947+00:00
11,,Rupali_Akter,Wordpress,,WordPress_Fiverr_Rupali_#FO41BDE7FA784_robear985_$350,robear985,Delivered,Joint team,"Tanzina, Fatema",,350.00,0.00,https://docs.google.com/spreadsheets/d/1c19kdfhuANc_8JYSMjMJJsQJYDDXhS1CelkQIxgdr_k/edit?usp=sharing,,,{},2026-08-02 23:31:33.262311+00:00,2026-08-02 23:31:33.262311+00:00
12,,Rita_Akter,Wordpress,,WordPress_Fiverr_code_whiz_#FO214EB1B5944_cynergybs_$350,cynergybs,Delivered,Green Pair,,,350.00,0.00,https://docs.google.com/spreadsheets/d/1YdjHk_yhdOnLZ8Zt78i4si83fvwajxIPEz8k8Z1mDao/edit?usp=sharing,,,{},2026-08-02 23:31:35.202172+00:00,2026-08-02 23:31:35.202172+00:00
13,,codeninja7,Webflow,,WebFlow_Fiverr_codeninja7_#FO11BE678FD87_anissa_highmark_$150,anissa_highmark,Delivered,Hossain,,,150.00,0.00,https://docs.google.com/spreadsheets/d/1M04VhxliBUGgw_zpqmZeZajqClZirXneerwidgaous8/edit?usp=sharing,,,{},2026-08-02 23:31:37.185302+00:00,2026-08-02 23:31:37.185302+00:00
14,,devistiyak07(Istiyak),Shopify,,Shopify_Fiverr_devistiyak07_#FO830E4633CC6_laurynelzshoes_$280,laurynelzshoes,Submitted,Shopify Team,Sabbir,,280.00,0.00,https://docs.google.com/spreadsheets/d/1GDHIpofIUl5rDN_NLqy7Lq35UqwfYXTH_pcM6pyZkNc/edit?usp=sharing,,,{},2026-08-02 23:31:39.187125+00:00,2026-08-02 23:31:39.187125+00:00
15,,primeweb24,Wordpress,,Wordpress_Fiverr_primeweb_#FO730E0C758C7_kbogateanu_$80,kbogateanu,Delivered,Gold Pair,,,80.00,0.00,https://docs.google.com/spreadsheets/d/1p2ziD1A_FbxECItxKI0F3VaoA5yZ2OLPg9jmtImRfwE/edit?gid=0#gid=0,,,{},2026-08-02 23:31:41.242988+00:00,2026-08-02 23:31:41.242988+00:00
16,,nexoly18,Wordpress,,Wordpress_Fiverr_nexoly18_#FO629F10285C6_heathchurchohio _$500,heathchurchohio,WIP,Black Pair,,,500.00,0.00,https://docs.google.com/spreadsheets/d/1NAA1z8cRM4-d02NPkb1zD-97M6vfFOH2ASubElL7aoQ/edit?usp=sharing,,,{},2026-08-02 23:31:43.298094+00:00,2026-08-02 23:31:43.298094+00:00
